Name,DOE,Number,Risk,Cost Mean,Cost Median,Cost 95confidence Lower,Cost 95confidence Upper,Cost Q25,Cost Q75,Lead Time Mean,Lead Time Median,Lead Time 95confidence Lower,Lead Time 95confidence Upper,Lead Time Q25,Lead Time Q75,Quality Mean,Quality Median,Quality 95confidence Lower,Quality 95confidence Upper,Quality Q25,Quality Q75,Effectivness Mean,Effectivness Median,Effectivness 95confidence Lower,Effectivness 95confidence Upper,Effectivness Q25,Effectivness Q75,Average Iterations Mean,Average Iterations Median,Average Iterations 95confidence Lower,Average Iterations 95confidence Upper,Average Iterations Q25,Average Iterations Q75,First Pass Yield Mean,First Pass Yield Median,First Pass Yield 95confidence Lower,First Pass Yield 95confidence Upper,First Pass Yield Q25,First Pass Yield Q75,Rel Cost Physical Mean,Rel Cost Physical Median,Rel Cost Physical 95confidence Lower,Rel Cost Physical 95confidence Upper,Rel Cost Physical Q25,Rel Cost Physical Q75,Work Efficency Mean,Work Efficency Median,Work Efficency 95confidence Lower,Work Efficency 95confidence Upper,Work Efficency Q25,Work Efficency Q75,Average Consitency Mean,Average Consitency Median,Average Consitency 95confidence Lower,Average Consitency 95confidence Upper,Average Consitency Q25,Average Consitency Q75
Baseline,Baseline,,18763.4,1395,1356.2,1378,1413.9,1143.7,1615.5,113.1,108.6,111.6,115.2,88.3,136.1,0.804,0.824,0.798,0.805,0.739,0.863,0.275,0.265,0.273,0.28,0.221,0.317,7.5,7.4,7.4,7.6,6.5,8.5,0.075,0.055,0.073,0.084,0.027,0.096,0.72,0.723,0.718,0.722,0.699,0.747,0.49,0.492,0.488,0.491,0.473,0.508,0.66,0.664,0.659,0.663,0.634,0.689
DOE3-1,DOE3,1,39451.7,1427.6,1397.3,1392.2,1463,1189.7,1671.8,129.8,125.5,126.1,133.5,104,155.5,0.799,0.822,0.792,0.806,0.74,0.858,0.281,0.268,0.273,0.29,0.222,0.317,7.5,7.4,7.4,7.6,6.5,8.3,0.085,0.055,0.072,0.097,0.027,0.096,0.667,0.671,0.663,0.671,0.646,0.694,0.497,0.497,0.495,0.499,0.482,0.514,0.664,0.666,0.66,0.668,0.64,0.692
DOE3-10,DOE3,10,34754,1402.7,1384.8,1369.9,1435.6,1154.5,1591.9,127.9,124.7,124.5,131.4,102,148.4,0.801,0.825,0.794,0.808,0.737,0.862,0.283,0.272,0.275,0.29,0.233,0.323,7.5,7.4,7.3,7.6,6.5,8.4,0.079,0.068,0.069,0.089,0.027,0.096,0.663,0.666,0.659,0.666,0.641,0.689,0.499,0.501,0.496,0.501,0.484,0.515,0.665,0.666,0.661,0.669,0.643,0.691
DOE3-11,DOE3,11,40696.5,1435.9,1418.2,1401.7,1470.2,1181.9,1634.3,131.7,129.9,128.1,135.3,103.9,153.7,0.802,0.823,0.795,0.809,0.745,0.861,0.279,0.265,0.271,0.286,0.227,0.319,7.5,7.5,7.4,7.7,6.5,8.4,0.077,0.055,0.067,0.087,0.027,0.096,0.659,0.662,0.655,0.662,0.636,0.684,0.504,0.504,0.502,0.506,0.487,0.522,0.663,0.662,0.659,0.667,0.639,0.689
DOE3-12,DOE3,12,49452.6,1484.7,1444.6,1449.1,1520.3,1232.7,1724.5,136.4,130.4,132.6,140.1,109.4,162.3,0.81,0.835,0.803,0.817,0.75,0.866,0.274,0.264,0.267,0.281,0.221,0.31,7.5,7.5,7.4,7.6,6.6,8.5,0.074,0.055,0.064,0.083,0.027,0.096,0.65,0.654,0.646,0.653,0.632,0.674,0.525,0.528,0.523,0.528,0.514,0.543,0.663,0.667,0.659,0.667,0.638,0.691
DOE3-13,DOE3,13,39567.1,1414.7,1397.3,1380,1449.5,1172.4,1608,129.7,126,126,133.4,102.9,150.6,0.802,0.822,0.795,0.809,0.74,0.863,0.282,0.269,0.274,0.29,0.231,0.322,7.9,7.8,7.7,8,6.8,8.8,0.079,0.055,0.068,0.09,0.027,0.096,0.651,0.656,0.647,0.655,0.626,0.681,0.503,0.503,0.5,0.505,0.488,0.518,0.664,0.666,0.66,0.668,0.637,0.692
DOE3-14,DOE3,14,41282.5,1450.7,1428.2,1417.2,1484.2,1225.6,1663.7,133.6,130.1,130.2,137,108.5,155.4,0.805,0.83,0.799,0.812,0.748,0.862,0.275,0.264,0.268,0.282,0.226,0.307,7.9,7.8,7.8,8.1,7,8.8,0.073,0.055,0.064,0.083,0.027,0.082,0.649,0.654,0.646,0.653,0.629,0.677,0.511,0.511,0.509,0.513,0.496,0.528,0.665,0.667,0.661,0.669,0.639,0.693
DOE3-15,DOE3,15,49765.8,1482.6,1453.7,1446,1519.1,1230.9,1699.5,135.9,133.2,132,139.7,108.1,159.6,0.8,0.821,0.793,0.807,0.739,0.86,0.277,0.26,0.269,0.284,0.224,0.313,7.6,7.5,7.4,7.7,6.7,8.5,0.079,0.055,0.068,0.09,0.027,0.096,0.647,0.652,0.644,0.651,0.629,0.672,0.525,0.526,0.522,0.527,0.51,0.544,0.661,0.663,0.658,0.665,0.633,0.69
DOE3-16,DOE3,16,30856.5,1378.6,1360.5,1345.2,1412,1136.1,1577.2,125.2,122.6,121.8,128.6,100.3,146.2,0.804,0.827,0.797,0.811,0.741,0.864,0.29,0.274,0.282,0.298,0.235,0.333,8.4,8.4,8.3,8.6,7.5,9.4,0.097,0.068,0.085,0.108,0.027,0.11,0.621,0.626,0.616,0.626,0.593,0.656,0.511,0.514,0.509,0.513,0.496,0.527,0.667,0.669,0.663,0.67,0.645,0.692
DOE3-17,DOE3,17,40471.8,1423.5,1399.7,1389.4,1457.5,1200.4,1639.5,132,128.1,128.4,135.5,107.3,153.1,0.799,0.814,0.792,0.806,0.739,0.86,0.282,0.269,0.274,0.289,0.226,0.315,8.6,8.4,8.4,8.7,7.5,9.5,0.087,0.055,0.074,0.1,0.027,0.096,0.62,0.627,0.615,0.625,0.593,0.656,0.518,0.52,0.516,0.52,0.503,0.534,0.663,0.666,0.659,0.667,0.639,0.691
DOE3-18,DOE3,18,47549.3,1467.2,1446.5,1431.5,1503,1198.7,1704.8,135.1,132.2,131.3,138.9,109.2,158.7,0.803,0.827,0.796,0.81,0.742,0.864,0.278,0.266,0.271,0.286,0.223,0.32,7.6,7.5,7.4,7.7,6.7,8.5,0.078,0.055,0.068,0.088,0.027,0.096,0.644,0.648,0.64,0.647,0.623,0.67,0.522,0.522,0.52,0.525,0.507,0.542,0.663,0.666,0.659,0.667,0.638,0.689
DOE3-19,DOE3,19,19373.4,1278.2,1251.7,1249.3,1307.1,1092.9,1443.4,117.9,114.8,114.9,120.8,97.3,136.2,0.81,0.824,0.803,0.816,0.755,0.866,0.31,0.3,0.302,0.317,0.26,0.343,8.9,8.8,8.7,9,7.9,9.7,0.117,0.068,0.101,0.132,0.027,0.123,0.58,0.59,0.574,0.586,0.544,0.621,0.515,0.516,0.513,0.517,0.503,0.53,0.672,0.674,0.668,0.675,0.649,0.697
DOE3-2,DOE3,2,50843.6,1478.4,1454.6,1440.7,1516,1190.3,1724.5,135.5,131.5,131.5,139.4,106.2,160.1,0.803,0.824,0.796,0.81,0.743,0.862,0.273,0.26,0.265,0.281,0.216,0.317,7.6,7.6,7.5,7.7,6.5,8.5,0.074,0.055,0.064,0.084,0.027,0.086,0.665,0.669,0.661,0.668,0.644,0.694,0.506,0.507,0.504,0.509,0.491,0.525,0.664,0.669,0.661,0.668,0.639,0.69
DOE3-20,DOE3,20,23173,1301.2,1265.6,1270.8,1331.6,1081.8,1485,120.3,117,117.2,123.5,98.2,139.7,0.802,0.805,0.795,0.808,0.751,0.86,0.308,0.298,0.3,0.316,0.253,0.353,8.8,8.8,8.7,9,7.8,9.8,0.118,0.055,0.101,0.134,0.027,0.11,0.58,0.59,0.574,0.586,0.549,0.619,0.523,0.524,0.521,0.525,0.509,0.539,0.673,0.675,0.669,0.676,0.648,0.698
DOE3-21,DOE3,21,51993.7,1481,1470.7,1442.9,1519.1,1198.2,1728.1,136.6,132.2,132.7,140.5,108.3,161.6,0.805,0.831,0.798,0.812,0.748,0.865,0.278,0.26,0.27,0.286,0.22,0.319,7.8,7.8,7.7,7.9,6.7,8.8,0.088,0.055,0.075,0.1,0.027,0.096,0.636,0.644,0.631,0.64,0.613,0.666,0.527,0.529,0.525,0.53,0.512,0.546,0.662,0.664,0.658,0.665,0.641,0.684
DOE3-22,DOE3,22,10928.9,1155.8,1134.8,1128.7,1183,965.7,1332.2,108.4,105.9,105.6,111.1,89.1,126.7,0.812,0.81,0.806,0.817,0.773,0.854,0.347,0.332,0.337,0.356,0.281,0.392,9,8.9,8.9,9.1,8,9.9,0.18,0.082,0.156,0.204,0.041,0.178,0.537,0.541,0.529,0.544,0.495,0.589,0.514,0.515,0.512,0.516,0.501,0.528,0.674,0.677,0.67,0.677,0.65,0.699
DOE3-23,DOE3,23,14755.1,1164.7,1127.8,1134,1195.4,933.8,1327.3,108.9,105,105.8,112,87.2,124.3,0.814,0.815,0.808,0.819,0.774,0.862,0.349,0.335,0.34,0.358,0.284,0.406,8.9,8.8,8.8,9.1,7.8,10,0.186,0.082,0.162,0.21,0.041,0.205,0.532,0.536,0.524,0.539,0.488,0.589,0.521,0.523,0.519,0.524,0.508,0.536,0.677,0.68,0.673,0.68,0.653,0.703
DOE3-25,DOE3,25,4455.9,994.4,959.7,969.6,1019.3,816.8,1147.8,93.1,89.9,90.6,95.6,75.1,106.7,0.828,0.833,0.823,0.832,0.798,0.862,0.405,0.395,0.395,0.416,0.326,0.467,8.6,8.5,8.5,8.8,7.5,9.6,0.292,0.123,0.259,0.325,0.055,0.418,0.488,0.496,0.48,0.496,0.445,0.542,0.51,0.512,0.508,0.513,0.496,0.526,0.676,0.677,0.673,0.68,0.655,0.702
DOE3-26,DOE3,26,5383.4,1033.7,1010.9,1008.5,1059,849,1178.9,97.1,95.3,94.6,99.6,78.9,111.7,0.829,0.834,0.825,0.834,0.806,0.861,0.391,0.376,0.381,0.401,0.321,0.448,8.8,8.7,8.6,9,7.8,9.7,0.256,0.11,0.226,0.286,0.055,0.315,0.491,0.495,0.484,0.499,0.445,0.545,0.517,0.519,0.515,0.519,0.502,0.533,0.672,0.676,0.668,0.675,0.647,0.698
DOE3-27,DOE3,27,50885.8,1463.5,1424.6,1427.7,1499.2,1204.4,1698.8,135.4,130.6,131.5,139.3,108,158.5,0.807,0.82,0.8,0.813,0.747,0.866,0.279,0.269,0.271,0.286,0.225,0.319,8.6,8.5,8.4,8.9,7.5,9.5,0.085,0.055,0.073,0.097,0.027,0.096,0.605,0.611,0.6,0.61,0.577,0.642,0.537,0.538,0.535,0.539,0.522,0.554,0.665,0.668,0.661,0.669,0.639,0.693
DOE3-3,DOE3,3,52732.8,1499.8,1490.8,1463.5,1536.1,1244.5,1705.2,138.7,137.8,134.9,142.4,112,161.7,0.802,0.821,0.795,0.809,0.743,0.861,0.272,0.256,0.265,0.28,0.224,0.311,7.6,7.5,7.4,7.7,6.6,8.4,0.072,0.055,0.062,0.081,0.014,0.082,0.651,0.656,0.647,0.654,0.631,0.676,0.526,0.529,0.523,0.528,0.511,0.545,0.662,0.666,0.658,0.666,0.638,0.689
