Name,DOE,Number,Risk,Cost Mean,Cost Median,Cost 95confidence Lower,Cost 95confidence Upper,Cost Q25,Cost Q75,Lead Time Mean,Lead Time Median,Lead Time 95confidence Lower,Lead Time 95confidence Upper,Lead Time Q25,Lead Time Q75,Quality Mean,Quality Median,Quality 95confidence Lower,Quality 95confidence Upper,Quality Q25,Quality Q75,Effectivness Mean,Effectivness Median,Effectivness 95confidence Lower,Effectivness 95confidence Upper,Effectivness Q25,Effectivness Q75,Average Iterations Mean,Average Iterations Median,Average Iterations 95confidence Lower,Average Iterations 95confidence Upper,Average Iterations Q25,Average Iterations Q75,First Pass Yield Mean,First Pass Yield Median,First Pass Yield 95confidence Lower,First Pass Yield 95confidence Upper,First Pass Yield Q25,First Pass Yield Q75,Rel Cost Physical Mean,Rel Cost Physical Median,Rel Cost Physical 95confidence Lower,Rel Cost Physical 95confidence Upper,Rel Cost Physical Q25,Rel Cost Physical Q75,Work Efficency Mean,Work Efficency Median,Work Efficency 95confidence Lower,Work Efficency 95confidence Upper,Work Efficency Q25,Work Efficency Q75,Average Consitency Mean,Average Consitency Median,Average Consitency 95confidence Lower,Average Consitency 95confidence Upper,Average Consitency Q25,Average Consitency Q75
DOE4-1,DOE4,1,32206,1558.6,1510.1,1525.3,1591.9,1334.5,1788.5,123.4,117.2,119.8,127,97,145.6,0.812,0.851,0.805,0.82,0.741,0.877,0.28,0.273,0.273,0.287,0.227,0.314,9.6,9.5,9.4,9.7,8.5,10.6,0.107,0.068,0.092,0.121,0.027,0.11,0.631,0.633,0.626,0.635,0.606,0.661,0.362,0.361,0.36,0.364,0.348,0.378,0.532,0.534,0.527,0.536,0.502,0.562
DOE4-10,DOE4,10,12222.3,1335.7,1322.8,1308.4,1362.9,1143.9,1505.5,107.6,103.5,104.8,110.5,87,124.2,0.81,0.851,0.802,0.818,0.738,0.875,0.29,0.279,0.283,0.296,0.243,0.322,8.1,8,7.9,8.2,7.2,9,0.087,0.068,0.077,0.097,0.027,0.099,0.689,0.693,0.686,0.693,0.668,0.713,0.453,0.454,0.451,0.455,0.44,0.468,0.631,0.634,0.627,0.635,0.609,0.657
DOE4-38,DOE4,38,16623.1,1410.3,1388,1379.3,1441.3,1186.2,1610.8,113,109.2,110,116,89.9,131.5,0.811,0.838,0.804,0.818,0.745,0.87,0.262,0.253,0.256,0.268,0.214,0.298,7.7,7.6,7.5,7.8,6.8,8.5,0.067,0.055,0.06,0.075,0.014,0.096,0.733,0.735,0.73,0.736,0.714,0.755,0.433,0.433,0.431,0.435,0.42,0.448,0.627,0.628,0.623,0.631,0.6,0.656
DOE4-36,DOE4,36,28475.4,1447.8,1425.6,1413.4,1482.2,1213.1,1629.7,109.7,104.4,105.7,113.7,87,129.5,0.818,0.852,0.81,0.826,0.746,0.887,0.286,0.272,0.279,0.294,0.236,0.326,9.8,9.7,9.6,10,8.8,10.8,0.098,0.068,0.084,0.111,0.027,0.096,0.657,0.66,0.652,0.661,0.63,0.688,0.359,0.36,0.357,0.361,0.347,0.372,0.582,0.584,0.578,0.586,0.554,0.61
DOE4-31,DOE4,31,9576,1112.6,1087.9,1084.5,1140.7,918.3,1281.2,100.4,96.6,97.4,103.4,78.3,117.5,0.803,0.791,0.795,0.811,0.733,0.881,0.337,0.321,0.327,0.346,0.272,0.382,7.5,7.4,7.3,7.6,6.6,8.2,0.112,0.068,0.097,0.127,0.027,0.11,0.662,0.667,0.658,0.667,0.64,0.696,0.475,0.477,0.473,0.478,0.459,0.494,0.706,0.708,0.702,0.71,0.678,0.734
DOE4-91,DOE4,91,24227,1559.7,1548,1526.6,1592.8,1331.6,1742,116.9,113.3,113.4,120.4,91.9,138.2,0.808,0.851,0.8,0.816,0.735,0.879,0.276,0.26,0.269,0.284,0.228,0.309,10.4,10.3,10.2,10.5,9.2,11.6,0.123,0.055,0.105,0.141,0.027,0.11,0.627,0.63,0.622,0.632,0.598,0.66,0.332,0.334,0.33,0.334,0.32,0.345,0.505,0.506,0.501,0.51,0.475,0.533
DOE4-65,DOE4,65,47901.3,1602.1,1575,1567.4,1636.9,1353.2,1828.4,135.4,132.4,131.7,139.1,107.5,160.6,0.813,0.852,0.805,0.82,0.74,0.874,0.253,0.242,0.247,0.259,0.209,0.287,9.1,9.1,9,9.3,8.1,10.2,0.078,0.055,0.069,0.088,0.027,0.096,0.695,0.698,0.691,0.698,0.672,0.721,0.427,0.427,0.424,0.429,0.41,0.444,0.581,0.585,0.577,0.585,0.554,0.61
DOE4-62,DOE4,62,216498.5,2144.7,2104.1,2094.8,2194.5,1849.2,2366.9,181.4,173.2,174.8,187.9,146.2,207.7,0.803,0.827,0.796,0.81,0.738,0.866,0.252,0.245,0.247,0.258,0.218,0.28,8.8,8.7,8.6,8.9,7.7,9.6,0.069,0.055,0.061,0.077,0.027,0.086,0.598,0.6,0.594,0.601,0.578,0.619,0.507,0.509,0.505,0.51,0.494,0.522,0.575,0.577,0.571,0.579,0.55,0.6
DOE4-54,DOE4,54,90144.7,1763.3,1712.2,1721.5,1805.2,1490.7,2002.2,148.5,144.8,143.7,153.4,117.1,174.4,0.809,0.841,0.802,0.816,0.741,0.867,0.23,0.222,0.224,0.236,0.188,0.26,8.9,8.8,8.8,9.1,7.8,9.9,0.067,0.055,0.06,0.075,0.027,0.096,0.702,0.704,0.698,0.705,0.682,0.724,0.354,0.354,0.353,0.356,0.343,0.367,0.58,0.581,0.576,0.584,0.55,0.61
DOE4-53,DOE4,53,131213.9,1747.7,1711.5,1699.8,1795.5,1497.6,1966.1,148.4,142.1,141.8,155,119.9,169.1,0.81,0.846,0.803,0.818,0.75,0.87,0.277,0.268,0.27,0.283,0.234,0.306,7.7,7.6,7.5,7.9,6.8,8.5,0.078,0.055,0.068,0.089,0.027,0.096,0.633,0.636,0.63,0.636,0.615,0.654,0.597,0.599,0.594,0.6,0.58,0.615,0.627,0.63,0.623,0.631,0.6,0.657
