Name,DOE,Number,Mean Cost,Mean Lead Time,Mean Quality,Risk,Effectivness,Average Iterations,First Pass Yield,Rel Cost Physical,Work Efficency,Average Consitency
DOE4-96,DOE4,96,1609.7,136.7,0.81,47968.3,0.293,6.7,0.077,0.638,0.613,0.737
DOE4-98,DOE4,98,1911.2,159.8,0.81,99782.2,0.27,8.7,0.076,0.602,0.546,0.585
DOE4-99,DOE4,99,1787,148.4,0.808,75540.4,0.272,8.2,0.076,0.628,0.597,0.607
DOE4-97,DOE4,97,1305.7,107.7,0.808,14402.6,0.268,8,0.083,0.752,0.506,0.684
DOE4-121,DOE4,121,1313.1,108.1,0.812,13177.8,0.266,7.3,0.073,0.755,0.505,0.714
DOE4-126,DOE4,126,2006.3,196.1,0.808,225230.4,0.261,7.9,0.066,0.552,0.645,0.603
DOE4-119,DOE4,119,1611.3,148.9,0.814,67843.9,0.241,7.9,0.063,0.676,0.521,0.645
DOE4-110,DOE4,110,1481.4,118.8,0.814,23871.3,0.271,8.8,0.076,0.685,0.425,0.57
DOE4-117,DOE4,117,1463.2,118,0.82,23470.5,0.291,9.8,0.097,0.641,0.373,0.553
DOE4-128,DOE4,128,1714.3,137.5,0.807,53206.3,0.249,10.3,0.093,0.642,0.318,0.507
DOE4-143,DOE4,143,1734.2,142.7,0.804,61580.9,0.238,8.9,0.067,0.689,0.409,0.56
DOE4-144,DOE4,144,1458.2,143.7,0.808,63084.9,0.288,9.9,0.107,0.595,0.381,0.548
DOE4-172,DOE4,172,1363.2,114.6,0.808,19947,0.26,8.7,0.094,0.733,0.49,0.625
DOE4-175,DOE4,175,1259.6,100.4,0.816,8955.3,0.282,8.1,0.097,0.723,0.491,0.682
DOE4-181,DOE4,181,1288.9,120.2,0.816,23433.1,0.284,8,0.095,0.675,0.502,0.705
DOE4-116,DOE4,116,1178.5,98.5,0.809,6626.2,0.292,6.5,0.092,0.763,0.513,0.746
DOE4-129,DOE4,129,1622.3,125.5,0.821,32123.1,0.261,9.6,0.077,0.655,0.397,0.534
DOE4-111,DOE4,111,1323.6,103.9,0.816,10499.2,0.281,8.6,0.082,0.706,0.429,0.602
DOE4-127,DOE4,127,1920.3,189.8,0.806,200413.3,0.266,7.4,0.068,0.561,0.68,0.695
DOE4-118,DOE4,118,1404,116.7,0.817,23910.1,0.289,9,0.085,0.681,0.346,0.579
DOE4-120,DOE4,120,970.8,89.1,0.83,7460.4,0.383,9.5,0.215,0.563,0.484,0.662
DOE4-180,DOE4,180,1260.8,102.5,0.817,9963.2,0.286,8.2,0.082,0.724,0.44,0.631
DOE4-174,DOE4,174,1900.5,156.4,0.803,89218.9,0.253,7.8,0.067,0.642,0.619,0.615
DOE4-173,DOE4,173,2017.5,199,0.808,241979.2,0.255,7.6,0.072,0.561,0.687,0.689
DOE4-142,DOE4,142,1797.7,148.2,0.803,72325.2,0.272,7.8,0.078,0.62,0.584,0.616
DOE4-160,DOE4,160,1635.8,137.8,0.809,53384.4,0.29,7.2,0.073,0.636,0.612,0.699
DOE4-167,DOE4,167,1683.5,142.5,0.806,62412.9,0.237,8.8,0.078,0.695,0.348,0.542
DOE4-158,DOE4,158,1401.7,118.1,0.81,21603.2,0.286,9.2,0.096,0.675,0.427,0.584
DOE4-151,DOE4,151,2283.4,189.7,0.811,202276.3,0.234,9,0.061,0.603,0.515,0.556
DOE4-156,DOE4,156,1922,165.3,0.805,118031.9,0.27,8.4,0.073,0.61,0.524,0.586
DOE4-169,DOE4,169,1334.7,110.2,0.813,16694.9,0.271,7.7,0.076,0.74,0.449,0.673
DOE4-102,DOE4,102,1237.6,99.4,0.809,7635.6,0.302,7.8,0.098,0.698,0.513,0.679
DOE4-105,DOE4,105,1834.9,176,0.808,149849.2,0.288,7.4,0.083,0.54,0.642,0.662
DOE4-133,DOE4,133,1703.1,145,0.801,66388.9,0.274,7.1,0.077,0.651,0.64,0.71
DOE4-134,DOE4,134,1443.6,131.5,0.812,44316.4,0.289,10,0.111,0.605,0.396,0.541
DOE4-157,DOE4,157,2127.6,182.7,0.81,175706.3,0.245,8.8,0.063,0.607,0.526,0.56
DOE4-168,DOE4,168,1686,162.7,0.816,174425.8,0.291,6.8,0.08,0.587,0.684,0.739
DOE4-150,DOE4,150,1388.6,113.3,0.807,18663.5,0.267,8.4,0.078,0.716,0.416,0.595
DOE4-166,DOE4,166,1401.4,126.6,0.827,27968.3,0.313,12.3,0.161,0.473,0.379,0.529
DOE4-159,DOE4,159,1538.1,123.3,0.818,29184.8,0.272,9.4,0.08,0.661,0.317,0.553
