Name,DOE,Number,Mean Cost,Mean Lead Time,Mean Quality,Risk,Effectivness,Average Iterations,First Pass Yield,Rel Cost Physical,Work Efficency,Average Consitency
Baseline_org,Baseline_org,,1390.7,95.7,0.802,3140.1,0.317,5.7,0.089,0.665,0.501,0.658
DOE1-7,DOE1,7,1794.8,130.2,0.803,22882.6,0.323,5.6,0.081,0.568,0.612,0.649
DOE3-1,DOE3,1,1513.5,125.1,0.805,16102.5,0.317,5.7,0.083,0.594,0.51,0.658
DOE3-10,DOE3,10,1504.7,126.8,0.795,19208.1,0.32,6.0,0.094,0.572,0.51,0.653
DOE3-11,DOE3,11,1518.7,127.8,0.794,18840.6,0.32,5.9,0.089,0.563,0.521,0.653
DOE3-12,DOE3,12,1600.0,136.2,0.798,27464.9,0.314,5.8,0.081,0.561,0.546,0.657
DOE3-13,DOE3,13,1477.8,123.6,0.8,15063.9,0.322,6.2,0.092,0.555,0.514,0.653
DOE3-14,DOE3,14,1522.8,129.0,0.809,21289.0,0.316,6.3,0.081,0.549,0.525,0.652
DOE3-15,DOE3,15,1593.1,135.8,0.794,30932.8,0.318,5.8,0.078,0.556,0.544,0.655
DOE3-16,DOE3,16,1442.4,121.9,0.799,11002.5,0.326,6.4,0.094,0.534,0.519,0.652
DOE3-17,DOE3,17,1507.3,127.8,0.808,18554.6,0.319,6.6,0.094,0.529,0.528,0.65
DOE3-18,DOE3,18,1585.2,134.8,0.805,24652.5,0.315,6.0,0.081,0.547,0.547,0.652
DOE3-19,DOE3,19,1380.9,117.1,0.809,11275.9,0.345,6.6,0.127,0.506,0.519,0.654
DOE3-2,DOE3,2,1610.8,135.1,0.8,28200.7,0.303,5.9,0.076,0.592,0.522,0.66
DOE3-20,DOE3,20,1437.6,123.0,0.805,14724.9,0.333,6.8,0.112,0.498,0.53,0.655
DOE3-21,DOE3,21,1569.4,134.2,0.803,23563.2,0.317,6.1,0.087,0.533,0.548,0.653
DOE3-22,DOE3,22,1326.8,113.9,0.816,7630.3,0.356,6.8,0.152,0.479,0.52,0.65
DOE3-23,DOE3,23,1309.0,112.9,0.806,6877.1,0.364,6.6,0.17,0.464,0.528,0.649
DOE3-24,DOE3,24,1545.1,132.3,0.796,24507.1,0.324,6.2,0.098,0.519,0.55,0.655
DOE3-25,DOE3,25,1166.8,100.7,0.815,3652.4,0.405,6.4,0.27,0.439,0.516,0.653
DOE3-26,DOE3,26,1201.0,104.3,0.825,4281.0,0.398,6.5,0.263,0.437,0.524,0.65
DOE3-27,DOE3,27,1559.1,134.2,0.805,24537.3,0.317,6.6,0.091,0.506,0.553,0.653
DOE3-28,DOE3,28,1517.1,124.1,0.798,16541.7,0.314,5.7,0.078,0.604,0.526,0.657
DOE3-29,DOE3,29,1521.3,124.5,0.799,19176.6,0.317,5.7,0.079,0.593,0.532,0.659
DOE3-3,DOE3,3,1628.5,137.1,0.807,31031.0,0.311,5.8,0.079,0.568,0.543,0.656
DOE3-30,DOE3,30,1571.7,131.1,0.805,24794.3,0.318,5.7,0.084,0.572,0.559,0.659
DOE3-31,DOE3,31,1524.6,124.9,0.799,16974.2,0.313,5.8,0.08,0.602,0.527,0.659
DOE3-32,DOE3,32,1507.2,123.4,0.796,15821.9,0.319,5.7,0.08,0.592,0.534,0.655
DOE3-33,DOE3,33,1608.7,133.8,0.802,24753.4,0.308,5.8,0.068,0.576,0.561,0.658
