Name,DOE,Number,Risk,Cost Mean,Cost Median,Cost 95confidence Lower,Cost 95confidence Upper,Cost Q25,Cost Q75,Lead Time Mean,Lead Time Median,Lead Time 95confidence Lower,Lead Time 95confidence Upper,Lead Time Q25,Lead Time Q75,Quality Mean,Quality Median,Quality 95confidence Lower,Quality 95confidence Upper,Quality Q25,Quality Q75,Effectivness Mean,Effectivness Median,Effectivness 95confidence Lower,Effectivness 95confidence Upper,Effectivness Q25,Effectivness Q75,Average Iterations Mean,Average Iterations Median,Average Iterations 95confidence Lower,Average Iterations 95confidence Upper,Average Iterations Q25,Average Iterations Q75,First Pass Yield Mean,First Pass Yield Median,First Pass Yield 95confidence Lower,First Pass Yield 95confidence Upper,First Pass Yield Q25,First Pass Yield Q75,Rel Cost Physical Mean,Rel Cost Physical Median,Rel Cost Physical 95confidence Lower,Rel Cost Physical 95confidence Upper,Rel Cost Physical Q25,Rel Cost Physical Q75,Work Efficency Mean,Work Efficency Median,Work Efficency 95confidence Lower,Work Efficency 95confidence Upper,Work Efficency Q25,Work Efficency Q75,Average Consitency Mean,Average Consitency Median,Average Consitency 95confidence Lower,Average Consitency 95confidence Upper,Average Consitency Q25,Average Consitency Q75
Baseline_org,Baseline_org,,3140.1,1390.7,1343.3,1355.7,1425.7,1145.2,1596.2,95.7,92.3,92.9,98.4,75.4,112.5,0.802,0.839,0.793,0.811,0.733,0.868,0.317,0.308,0.309,0.326,0.258,0.362,5.7,5.5,5.5,5.8,4.8,6.5,0.089,0.074,0.078,0.101,0.019,0.111,0.665,0.668,0.662,0.668,0.645,0.688,0.501,0.501,0.499,0.504,0.486,0.519,0.658,0.66,0.654,0.662,0.632,0.685
DOE1-7,DOE1,7,22882.6,1794.8,1765.8,1752.6,1837.0,1468.2,2089.2,130.2,127.3,126.6,133.7,102.3,154.5,0.803,0.84,0.795,0.811,0.735,0.867,0.323,0.311,0.315,0.331,0.265,0.368,5.6,5.6,5.5,5.7,4.7,6.5,0.081,0.056,0.072,0.091,0.037,0.111,0.568,0.57,0.565,0.571,0.55,0.59,0.612,0.615,0.61,0.615,0.596,0.629,0.649,0.65,0.645,0.653,0.623,0.678
DOE3-1,DOE3,1,16102.5,1513.5,1488.7,1476.3,1550.6,1237.5,1746.0,125.1,122.5,121.9,128.4,100.2,145.7,0.805,0.845,0.796,0.814,0.727,0.873,0.317,0.301,0.309,0.325,0.257,0.364,5.7,5.6,5.6,5.8,4.8,6.5,0.083,0.074,0.074,0.092,0.037,0.111,0.594,0.597,0.591,0.597,0.574,0.613,0.51,0.511,0.507,0.512,0.496,0.524,0.658,0.659,0.654,0.662,0.633,0.687
DOE3-10,DOE3,10,19208.1,1504.7,1483.1,1467.0,1542.4,1228.6,1754.5,126.8,124.3,123.4,130.3,100.9,146.8,0.795,0.842,0.786,0.804,0.709,0.87,0.32,0.302,0.311,0.328,0.256,0.366,6.0,5.9,5.8,6.1,5.1,6.8,0.094,0.065,0.081,0.106,0.037,0.111,0.572,0.578,0.567,0.576,0.55,0.604,0.51,0.513,0.508,0.513,0.497,0.526,0.653,0.655,0.649,0.657,0.625,0.68
DOE3-11,DOE3,11,18840.6,1518.7,1484.2,1480.5,1556.8,1232.9,1771.4,127.8,123.8,124.4,131.2,101.9,150.7,0.794,0.837,0.785,0.803,0.714,0.866,0.32,0.306,0.312,0.329,0.256,0.367,5.9,5.8,5.8,6.1,5.0,6.7,0.089,0.074,0.079,0.1,0.037,0.111,0.563,0.568,0.559,0.567,0.539,0.591,0.521,0.524,0.519,0.523,0.507,0.537,0.653,0.654,0.649,0.657,0.629,0.681
DOE3-12,DOE3,12,27464.9,1600.0,1578.5,1561.0,1638.9,1325.0,1853.4,136.2,134.2,132.7,139.8,112.2,159.7,0.798,0.84,0.789,0.807,0.71,0.869,0.314,0.3,0.306,0.323,0.254,0.357,5.8,5.8,5.6,5.9,4.9,6.5,0.081,0.074,0.071,0.09,0.037,0.111,0.561,0.564,0.558,0.564,0.541,0.585,0.546,0.548,0.544,0.548,0.533,0.562,0.657,0.659,0.653,0.661,0.629,0.689
DOE3-13,DOE3,13,15063.9,1477.8,1438.6,1441.9,1513.7,1233.0,1695.4,123.6,120.2,120.4,126.9,99.9,143.0,0.8,0.844,0.791,0.809,0.719,0.872,0.322,0.31,0.314,0.33,0.264,0.366,6.2,6.2,6.0,6.3,5.2,6.9,0.092,0.074,0.081,0.103,0.037,0.111,0.555,0.56,0.551,0.559,0.529,0.587,0.514,0.516,0.512,0.517,0.502,0.529,0.653,0.656,0.649,0.657,0.628,0.679
DOE3-14,DOE3,14,21289.0,1522.8,1473.0,1485.3,1560.3,1244.7,1774.0,129.0,122.1,125.6,132.5,102.5,153.1,0.809,0.849,0.801,0.817,0.73,0.871,0.316,0.308,0.308,0.324,0.257,0.366,6.3,6.1,6.1,6.4,5.3,7.2,0.081,0.065,0.072,0.09,0.037,0.111,0.549,0.554,0.545,0.553,0.524,0.578,0.525,0.526,0.523,0.527,0.511,0.539,0.652,0.652,0.648,0.655,0.627,0.678
DOE3-15,DOE3,15,30932.8,1593.1,1531.7,1551.1,1635.1,1270.5,1858.1,135.8,129.5,131.9,139.6,106.4,161.6,0.794,0.836,0.785,0.803,0.712,0.866,0.318,0.308,0.309,0.326,0.254,0.371,5.8,5.7,5.6,5.9,4.8,6.5,0.078,0.056,0.069,0.087,0.019,0.093,0.556,0.559,0.552,0.559,0.532,0.579,0.544,0.546,0.542,0.547,0.53,0.563,0.655,0.659,0.651,0.66,0.63,0.682
DOE3-16,DOE3,16,11002.5,1442.4,1421.9,1410.2,1474.6,1211.4,1649.4,121.9,118.3,119.0,124.8,102.1,140.5,0.799,0.842,0.79,0.807,0.721,0.874,0.326,0.315,0.319,0.334,0.27,0.366,6.4,6.4,6.3,6.5,5.5,7.3,0.094,0.074,0.082,0.106,0.037,0.111,0.534,0.538,0.529,0.539,0.507,0.568,0.519,0.522,0.517,0.521,0.507,0.533,0.652,0.654,0.648,0.655,0.626,0.68
DOE3-17,DOE3,17,18554.6,1507.3,1468.2,1470.3,1544.3,1231.2,1733.5,127.8,124.3,124.5,131.1,103.6,150.0,0.808,0.847,0.799,0.816,0.725,0.877,0.319,0.307,0.311,0.328,0.26,0.364,6.6,6.6,6.4,6.7,5.6,7.4,0.094,0.074,0.081,0.107,0.037,0.111,0.529,0.536,0.524,0.534,0.501,0.562,0.528,0.53,0.526,0.53,0.515,0.544,0.65,0.654,0.646,0.654,0.623,0.678
DOE3-18,DOE3,18,24652.5,1585.2,1558.2,1547.8,1622.5,1300.7,1832.5,134.8,130.5,131.4,138.2,107.5,156.9,0.805,0.844,0.797,0.814,0.728,0.874,0.315,0.304,0.307,0.322,0.256,0.362,6.0,5.9,5.8,6.1,5.1,6.7,0.081,0.074,0.072,0.09,0.037,0.093,0.547,0.55,0.543,0.55,0.525,0.576,0.547,0.549,0.544,0.549,0.53,0.564,0.652,0.655,0.648,0.656,0.624,0.684
DOE3-19,DOE3,19,11275.9,1380.9,1346.7,1345.1,1416.8,1115.5,1571.5,117.1,112.5,113.9,120.3,94.0,135.8,0.809,0.85,0.801,0.818,0.732,0.879,0.345,0.329,0.336,0.355,0.284,0.396,6.6,6.5,6.5,6.8,5.6,7.6,0.127,0.074,0.108,0.145,0.037,0.13,0.506,0.512,0.499,0.512,0.468,0.55,0.519,0.52,0.517,0.521,0.506,0.535,0.654,0.655,0.65,0.658,0.628,0.678
