Config. No.,Cost,Lead Time,Risk,Rework Effectivness,Average Iterations,FPY,Physical Cost,Work Efficiency,Average Consitency,T_Acc (old),T_I (old),DL_Eng,DL_EKM,New Tool,T_Acc (new),T_I (new),T_Usab
DOE4-1,,,,,,,,,,0,0.2,2,1,True,0.2,0.5,1
DOE4-2,,,,,,,,,,-0.5,0.5,3,2,True,0.2,0.2,2
DOE4-3,,,,,,,,,,0,0.5,2,2,False,0.5,0.5,2
DOE4-4,,,,,,,,,,0.5,0.5,3,3,False,0.2,0.2,2
DOE4-5,,,,,,,,,,0.5,0.8,1,3,True,0.8,0.2,1
DOE4-6,,,,,,,,,,0.5,0.8,2,3,True,0.2,0.8,1
DOE4-7,,,,,,,,,,0.5,0.5,1,2,True,0.5,0.2,3
DOE4-8,,,,,,,,,,0,0.5,1,3,True,0.2,0.8,2
DOE4-9,,,,,,,,,,0,0.5,2,2,True,0.5,0.5,2
DOE4-10,,,,,,,,,,-0.5,0.8,3,3,False,0.8,0.2,1
DOE4-11,,,,,,,,,,0,0.8,1,1,True,0.2,0.2,3
DOE4-12,,,,,,,,,,0.5,0.2,1,1,True,0.5,0.8,1
DOE4-13,,,,,,,,,,0.5,0.2,3,3,True,0.2,0.5,1
DOE4-14,,,,,,,,,,-0.5,0.8,2,1,False,0.5,0.5,2
DOE4-15,,,,,,,,,,-0.5,0.2,1,2,True,0.2,0.5,2
DOE4-16,,,,,,,,,,-0.5,0.2,3,3,True,0.2,0.8,3
DOE4-17,,,,,,,,,,0,0.2,3,3,True,0.5,0.5,2
DOE4-18,,,,,,,,,,-0.5,0.8,1,2,True,0.5,0.8,1
DOE4-19,,,,,,,,,,0,0.8,2,2,True,0.8,0.5,2
DOE4-20,,,,,,,,,,0.5,0.5,2,1,True,0.5,0.2,1
DOE4-21,,,,,,,,,,0,0.5,3,1,True,0.2,0.8,2
DOE4-22,,,,,,,,,,-0.5,0.8,1,3,False,0.8,0.8,3
DOE4-23,,,,,,,,,,0.5,0.8,2,3,False,0.5,0.8,1
DOE4-24,,,,,,,,,,0.5,0.2,1,1,True,0.8,0.2,2
DOE4-25,,,,,,,,,,0.5,0.8,1,1,False,0.2,0.2,1
DOE4-26,,,,,,,,,,0.5,0.2,1,3,True,0.8,0.8,3
DOE4-27,,,,,,,,,,0.5,0.2,3,3,False,0.2,0.8,3
DOE4-28,,,,,,,,,,0.5,0.2,1,2,False,0.2,0.2,1
DOE4-29,,,,,,,,,,0,0.5,3,2,False,0.5,0.5,1
DOE4-30,,,,,,,,,,0.5,0.2,2,1,False,0.2,0.8,2
DOE4-31,,,,,,,,,,0,0.5,2,2,True,0.8,0.8,3
DOE4-32,,,,,,,,,,-0.5,0.8,3,3,True,0.8,0.8,1
DOE4-33,,,,,,,,,,-0.5,0.8,3,2,True,0.2,0.8,2
DOE4-34,,,,,,,,,,-0.5,0.2,2,1,True,0.8,0.8,1
DOE4-35,,,,,,,,,,-0.5,0.2,1,1,False,0.8,0.2,1
DOE4-36,,,,,,,,,,0.5,0.8,1,1,False,0.8,0.8,1
DOE4-37,,,,,,,,,,0,0.2,1,3,True,0.8,0.2,1
DOE4-38,,,,,,,,,,-0.5,0.5,1,3,True,0.8,0.5,1
DOE4-39,,,,,,,,,,0,0.2,1,2,False,0.5,0.8,3
DOE4-40,,,,,,,,,,-0.5,0.8,1,2,False,0.8,0.2,2
DOE4-41,,,,,,,,,,-0.5,0.8,1,1,False,0.2,0.8,3
DOE4-42,,,,,,,,,,-0.5,0.2,3,1,False,0.2,0.2,3
DOE4-43,,,,,,,,,,0,0.8,3,2,False,0.5,0.8,3
DOE4-44,,,,,,,,,,0,0.5,2,2,False,0.5,0.5,2
