Cost,Lead Time,Risk,Rework Effectivness,Average Iterations,FPY,Physical Cost,Work Efficiency,Average Consitency,T_Acc (MBSE),T_I (MBSE),DL_Eng,DL_EKM,New Tool,T_Acc (new),T_I (new),T_Usab,T_Acc (LFSystemSimulator),T_I (LFSystemSimulator),T_Acc (CAD),T_I (CAD),T_Acc (IDE),T_I (IDE),T_Acc (ECAD),T_I (ECAD),T_Acc (FEM),T_I (FEM),T_Acc (CurcuitSimulation),T_I (CurcuitSimulation)
1458.5,97.7,4159.5,0.351,6.8,0.106,0.595,0.374,0.585,0.5,0.5,2,1,False,0.5,0.5,1,0.5,0.8,0.8,0.2,0.5,0.5,0.5,0.8,0.8,0.5,0.2,0.2
1287.4,85.8,1110.4,0.323,5.8,0.093,0.681,0.473,0.703,0.2,0.2,3,3,False,0.2,0.2,3,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.2,0.8,0.2,0.8,0.8
1638.2,111,10733.4,0.293,6.8,0.075,0.635,0.363,0.592,0.2,0.2,3,1,False,0.5,0.8,2,0.2,0.5,0.8,0.8,0.2,0.5,0.5,0.2,0.5,0.2,0.8,0.8
1468.7,106.7,6451.2,0.304,6.4,0.08,0.683,0.421,0.604,0.2,0.8,3,1,False,0.8,0.2,1,0.8,0.2,0.2,0.8,0.8,0.2,0.2,0.8,0.2,0.8,0.2,0.8
1795.1,124.9,19455.6,0.356,6.5,0.093,0.523,0.535,0.619,0.5,0.2,1,1,False,0.5,0.8,3,0.2,0.8,0.5,0.8,0.2,0.2,0.8,0.8,0.8,0.8,0.8,0.2
1267.7,87.4,1216.3,0.329,5.7,0.091,0.68,0.461,0.692,0.2,0.5,3,2,False,0.2,0.2,1,0.2,0.2,0.2,0.8,0.8,0.8,0.2,0.2,0.8,0.2,0.2,0.2
1456,103.8,4422.5,0.392,6.1,0.098,0.548,0.597,0.653,0.8,0.8,1,3,False,0.8,0.2,3,0.8,0.8,0.2,0.2,0.8,0.2,0.2,0.2,0.2,0.8,0.8,0.8
1340.5,108.7,8182.7,0.397,6.8,0.142,0.5,0.482,0.621,0.8,0.2,2,2,True,0.8,0.2,3,0.5,0.8,0.2,0.2,0.8,0.2,0.8,0.2,0.8,0.5,0.5,0.5
1125.2,78.6,347.4,0.351,5,0.102,0.704,0.509,0.747,0.2,0.8,3,3,False,0.2,0.2,1,0.2,0.5,0.8,0.8,0.2,0.5,0.2,0.8,0.8,0.5,0.8,0.2
1241.1,83.8,653.8,0.369,6,0.112,0.637,0.456,0.672,0.5,0.5,2,2,False,0.8,0.5,2,0.8,0.5,0.8,0.5,0.8,0.5,0.2,0.2,0.5,0.2,0.8,0.2
1785.1,153,55844.6,0.342,5.7,0.083,0.514,0.632,0.643,0.2,0.8,1,3,True,0.2,0.2,1,0.8,0.2,0.8,0.2,0.8,0.2,0.2,0.8,0.2,0.8,0.8,0.8
1686.8,118,12825.9,0.344,5.7,0.085,0.55,0.608,0.652,0.2,0.2,1,3,False,0.2,0.8,2,0.8,0.2,0.8,0.2,0.2,0.8,0.8,0.8,0.8,0.8,0.8,0.8
1355.8,91,2435.2,0.325,5.8,0.098,0.659,0.506,0.654,0.2,0.2,2,3,False,0.5,0.8,3,0.2,0.2,0.2,0.2,0.2,0.8,0.2,0.8,0.2,0.8,0.2,0.2
