DL_Eng,DL_EKM,T_Acc (MBSE),T_I (MBSE),T_Acc (LFSystemSimulator),T_I (LFSystemSimulator),T_Acc (CAD),T_I (CAD),T_Acc (IDE),T_I (IDE),T_Acc (ECAD),T_I (ECAD),T_Acc (FEM),T_I (FEM),T_Acc (CurcuitSimulation),T_I (CurcuitSimulation),T_Acc (new),T_I (new),T_Usab (new),New Tool,Cost,Lead Time,Effectivness,Average Iterations,First Pass Yield,Rel Cost Physical,Work Efficency,Average Consitency
1.7160940440647623,1.3192296175697458,0.3973938144531366,0.7048378894626252,0.7109456603890744,0.3384314608402807,0.869324707511613,0.4312347178103909,0.359526946262237,0.7852895221852271,0.1957228751113452,0.6547972859270047,0.7832664473811263,0.5306315447330514,0.4729907025427322,0.1543822669588608,0.1922048786883803,0.8065416888727843,2.04467505201107,False,1446.2,100.7,0.35,7.1,0.126,0.685,0.444,0.59
1.9954926397814303,1.0255301443644051,0.8819287005877018,0.0318084281431009,0.3940407501421854,0.1522398017996218,0.889840178223368,0.6899630925362886,0.440283089761561,0.3423283294308459,0.6230021558527707,0.5417890025470886,0.4105331384171997,0.960875931825776,0.1459994920375305,0.1416166356197848,0.7450945067855422,0.4735774564843433,2.263879268159597,False,1509.0,95.1,0.339,8.1,0.142,0.652,0.381,0.58
1.6513068802512407,2.7357187458710426,0.5205114343437875,0.3413913284584837,0.8981212540309368,0.1031597145837264,0.6360969504956959,0.3138055740918553,0.6686326205756572,0.5852371158785493,0.3091906127027901,0.329917468945291,0.4964641898315193,0.3287191128870842,0.3687437299696109,0.5128938524080221,0.3588893200236173,0.704722749957152,1.5567433265869106,False,1510.0,104.4,0.331,7.0,0.112,0.705,0.487,0.628
1.0426277867515112,2.83386796409357,0.3142380883165348,0.6399607693897922,0.8619103909324386,0.6249098948805509,0.1323038686658386,0.1165266321546953,0.7225927299440243,0.2740894928718986,0.3670674584551795,0.5759242847588841,0.622169373050572,0.1695931150927907,0.3735817363052767,0.0941251338767014,0.3826144315073311,0.610416708920319,2.1318193815137514,False,1773.6,124.9,0.319,6.7,0.092,0.661,0.573,0.615
2.916316039343186,1.6307681864234065,0.2485557655775234,0.567978041147643,0.2749565596239476,0.0767867584786739,0.448271800679927,0.8685539048067573,0.8038423071015095,0.9584391604132934,0.7610802659109431,0.9703565231626362,0.6589378212386369,0.1153300486531721,0.2722073899417534,0.3415796679902241,0.1072418162700839,0.3171532855993142,2.769885325720586,True,1419.8,113.5,0.326,6.8,0.085,0.693,0.459,0.681
1.959584854715141,1.946514329805101,0.4015606078239601,0.4501132515164081,0.6204840909783983,0.9310654962835532,0.4749174506808721,0.62394216856152,0.8701998051079031,0.2875984103536384,0.4318045412274486,0.9109815448865416,0.4256660314233755,0.6255574710467493,0.5188921520480179,0.426166054848296,0.7019863388234308,0.4581409438892946,2.456963481853752,True,1412.6,112.7,0.331,7.1,0.094,0.66,0.515,0.659
1.714981290654864,2.627467916342286,0.6814822988620606,0.0818791948122224,0.3857103944311877,0.9328352087835602,0.70929933926087,0.4355665102188469,0.1739398405291272,0.9593704317649576,0.1253683821283294,0.528323217100491,0.2731161754559859,0.4127838063689695,0.7584492784887044,0.9784701041820748,0.180474482907694,0.1230316020464408,2.0039197206085624,True,1489.5,122.7,0.339,8.4,0.079,0.65,0.522,0.668
2.6123014646283567,1.070190841183753,0.1894775647833926,0.7859688408656886,0.2917322613956432,0.8732282662607039,0.6523947734807487,0.3501565492667981,0.3215572298404923,0.929643886111913,0.66842902977638,0.9344288820427388,0.6422464357313902,0.8448458991749412,0.7856125166823519,0.7728744316846616,0.3729042960443312,0.2764830222041514,1.47266253930431,False,1471.9,102.4,0.312,7.7,0.09,0.728,0.429,0.561
2.425026936218236,1.9708452040233728,0.6534711870263696,0.4742096131311604,0.2809047140510066,0.8361057698415858,0.4505779065035504,0.7254576692100584,0.5396599547558498,0.2791215306006386,0.2102428574686244,0.368732855585392,0.788889665779678,0.4055650244698032,0.5134477461401852,0.3359002051490824,0.2079368631018533,0.979346824039959,1.1290306137067954,False,1331.3,89.9,0.345,7.4,0.129,0.721,0.438,0.657
2.780345146051846,2.9606188809652827,0.5785237087623768,0.3685571715226768,0.8789558998680748,0.289454285828725,0.7364725131888886,0.497387186096333,0.5422667314702133,0.891034817001549,0.1741508876909416,0.0655816873475325,0.4565569844731152,0.8276629662539904,0.8075561753998147,0.7494838981645391,0.2800061141789375,0.4589132740174737,2.2976175123869536,False,1304.4,88.0,0.335,7.2,0.126,0.743,0.465,0.655
