Config. No.,Cost,Lead Time,Risk,Rework Efficency,Average Iterations,FPY,Physical Cost,Work Efficency,Average Consitency,T_Acc (old),T_I (old),DL_Eng,DL_EKM,New Tool,T_Acc (new),T_I (new),T_Usab
DOE4-1,2097.6,137.2,32127.7,0.203,17,0.055,0.585,0.373,0.463,0,0.2,2,1,True,0.2,0.5,1
DOE4-2,1595.4,104.7,5315.5,0.193,15.1,0.058,0.675,0.521,0.642,-0.5,0.5,3,2,True,0.2,0.2,2
DOE4-3,1407.5,82.7,857.4,0.209,14.3,0.058,0.721,0.551,0.631,0,0.5,2,2,False,0.5,0.5,2
DOE4-4,1144.9,69.3,272.4,0.24,13.3,0.069,0.73,0.518,0.661,0.5,0.5,3,3,False,0.2,0.2,2
DOE4-5,1130.5,86.2,883.4,0.313,12.4,0.132,0.473,0.744,0.764,0.5,0.8,1,3,True,0.8,0.2,1
DOE4-6,1144.6,79.8,643.2,0.248,12,0.066,0.695,0.666,0.752,0.5,0.8,2,3,True,0.2,0.8,1
DOE4-7,1799.4,134.7,27079,0.242,13.5,0.066,0.531,0.702,0.642,0.5,0.5,1,2,True,0.5,0.2,3
DOE4-8,1843.5,132,20221.9,0.216,13.7,0.059,0.587,0.735,0.665,0,0.5,1,3,True,0.2,0.8,2
DOE4-9,1411,95.3,3029.5,0.225,15.7,0.075,0.609,0.591,0.665,0,0.5,2,2,True,0.5,0.5,2
DOE4-10,1282.7,77.6,496,0.195,12.6,0.057,0.794,0.632,0.75,-0.5,0.8,3,3,False,0.8,0.2,1
DOE4-11,2113,159,66258.7,0.209,14.6,0.057,0.534,0.696,0.605,0,0.8,1,1,True,0.2,0.2,3
DOE4-12,2098.5,140.5,33186.8,0.229,17.1,0.068,0.497,0.533,0.509,0.5,0.2,1,1,True,0.5,0.8,1
DOE4-13,1295,86.2,1299.7,0.244,14.4,0.071,0.647,0.479,0.538,0.5,0.2,3,3,True,0.2,0.5,1
DOE4-14,1507.8,88.9,1941.5,0.189,15,0.058,0.746,0.583,0.601,-0.5,0.8,2,1,False,0.5,0.5,2
DOE4-15,2190.1,151.7,50501.9,0.201,16,0.056,0.563,0.646,0.509,-0.5,0.2,1,2,True,0.2,0.5,2
DOE4-16,1692.6,109.4,7502.2,0.185,16.7,0.057,0.678,0.53,0.545,-0.5,0.2,3,3,True,0.2,0.8,3
DOE4-17,1443.7,94.2,2372,0.219,17,0.065,0.617,0.52,0.568,0,0.2,3,3,True,0.5,0.5,2
DOE4-18,1608.3,119.3,10942.5,0.218,14.8,0.058,0.571,0.787,0.747,-0.5,0.8,1,2,True,0.5,0.8,1
DOE4-19,977.4,69.7,131.4,0.297,13.8,0.137,0.547,0.662,0.726,0,0.8,2,2,True,0.8,0.5,2
DOE4-20,1530.9,101.8,5690.4,0.25,15.2,0.077,0.551,0.427,0.561,0.5,0.5,2,1,True,0.5,0.2,1
DOE4-21,1752.3,115,9068.5,0.196,16.2,0.052,0.649,0.44,0.545,0,0.5,3,1,True,0.2,0.8,2
DOE4-22,1535.1,97.2,2117.8,0.218,12.2,0.059,0.677,0.77,0.746,-0.5,0.8,1,3,False,0.8,0.8,3
DOE4-23,1069,66.9,114,0.248,12,0.071,0.744,0.635,0.751,0.5,0.8,2,3,False,0.5,0.8,1
DOE4-24,2318.3,159.6,66139.7,0.226,16.9,0.061,0.481,0.521,0.504,0.5,0.2,1,1,True,0.8,0.2,2
DOE4-25,1492.3,93.1,1759.1,0.239,13.6,0.066,0.636,0.694,0.609,0.5,0.8,1,1,False,0.2,0.2,1
DOE4-26,1876.4,136.3,28669.8,0.233,15.1,0.065,0.526,0.695,0.555,0.5,0.2,1,3,True,0.8,0.8,3
DOE4-27,1256.5,73.2,399.2,0.235,14.5,0.065,0.701,0.454,0.539,0.5,0.2,3,3,False,0.2,0.8,3
DOE4-28,1680,99.6,3384.7,0.236,14.8,0.066,0.605,0.604,0.525,0.5,0.2,1,2,False,0.2,0.2,1
DOE4-29,1400.1,82.2,994.2,0.199,14.7,0.053,0.744,0.516,0.632,0,0.5,3,2,False,0.5,0.5,1
DOE4-30,1705.8,94.8,4858.4,0.233,15.7,0.068,0.625,0.345,0.463,0.5,0.2,2,1,False,0.2,0.8,2
DOE4-31,1416.4,96.6,3139,0.225,16,0.064,0.598,0.631,0.668,0,0.5,2,2,True,0.8,0.8,3
DOE4-32,890.1,63,14.4,0.3,13.2,0.129,0.607,0.662,0.756,-0.5,0.8,3,3,True,0.8,0.8,1
DOE4-33,1356.3,90.3,1151.3,0.201,13.4,0.059,0.724,0.645,0.725,-0.5,0.8,3,2,True,0.2,0.8,2
DOE4-34,1659.4,104.9,5266.1,0.256,18.1,0.089,0.477,0.396,0.448,-0.5,0.2,2,1,True,0.8,0.8,1
DOE4-35,2404.4,136.6,32724.8,0.197,16.7,0.059,0.603,0.499,0.456,-0.5,0.2,1,1,False,0.8,0.2,1
DOE4-36,1480.4,92.2,1473,0.24,13.5,0.063,0.636,0.693,0.609,0.5,0.8,1,1,False,0.8,0.8,1
DOE4-37,1476.3,103.5,3949,0.273,15.9,0.114,0.429,0.643,0.538,0,0.2,1,3,True,0.8,0.2,1
DOE4-38,1323.3,97.2,1749.9,0.281,14.4,0.128,0.452,0.708,0.666,-0.5,0.5,1,3,True,0.8,0.5,1
DOE4-39,1962.9,115.4,10827.3,0.203,15.9,0.059,0.626,0.614,0.514,0,0.2,1,2,False,0.5,0.8,3
DOE4-40,1594.4,100.3,3252.6,0.211,12.9,0.057,0.675,0.763,0.716,-0.5,0.8,1,2,False,0.8,0.2,2
DOE4-41,1760.3,107.7,8563.5,0.204,14.6,0.055,0.659,0.709,0.598,-0.5,0.8,1,1,False,0.2,0.8,3
DOE4-42,2104.6,116.1,11614.7,0.177,17.4,0.052,0.678,0.322,0.454,-0.5,0.2,3,1,False,0.2,0.2,3
DOE4-43,1231.7,74.9,377.5,0.206,13.2,0.059,0.777,0.616,0.717,0,0.8,3,2,False,0.5,0.8,3
DOE4-44,1459.2,85.9,1735.5,0.201,14.7,0.058,0.727,0.553,0.63,0,0.5,2,2,False,0.5,0.5,2
DOE4-45,2255.2,145.6,43113.6,0.187,17.4,0.055,0.603,0.42,0.465,-0.5,0.2,2,1,True,0.2,0.8,3
DOE4-46,1740.8,103.3,4364.9,0.237,14.4,0.065,0.602,0.575,0.544,0.5,0.5,1,1,False,0.8,0.5,3
DOE4-47,1163.8,70.4,350.9,0.235,13.8,0.06,0.732,0.522,0.603,0.5,0.8,3,1,False,0.2,0.8,1
DOE4-48,1247.3,84.6,1634.9,0.255,14,0.075,0.609,0.57,0.654,0.5,0.5,2,2,True,0.5,0.5,2
DOE4-49,1433.8,84.3,1177.4,0.205,14.5,0.061,0.724,0.552,0.631,0,0.5,2,2,False,0.8,0.5,1
DOE4-50,1762.8,99.9,4064.7,0.183,16.1,0.057,0.713,0.405,0.538,-0.5,0.5,3,1,False,0.8,0.8,3
DOE4-51,1463.4,98.6,2692.9,0.204,16.9,0.062,0.631,0.544,0.651,-0.5,0.8,3,1,True,0.5,0.5,1
DOE4-52,1365.7,92.9,2200.3,0.222,15.6,0.07,0.629,0.634,0.697,0,0.5,2,3,True,0.5,0.8,2
DOE4-53,1364.4,80.3,616.2,0.2,14.8,0.058,0.75,0.543,0.6,0,0.8,3,1,False,0.8,0.2,3
DOE4-54,1260.5,77,489.3,0.211,13,0.059,0.756,0.649,0.718,0,0.8,2,2,False,0.5,0.2,2
DOE4-55,2065.4,113.4,12469.6,0.18,17.1,0.057,0.675,0.322,0.459,-0.5,0.2,3,1,False,0.8,0.8,2
DOE4-56,1617.3,96.8,3173.5,0.237,14.6,0.063,0.609,0.626,0.545,0.5,0.2,1,3,False,0.8,0.5,1
DOE4-57,2270.2,158,66718.3,0.205,16,0.058,0.549,0.558,0.545,-0.5,0.5,1,1,True,0.2,0.2,1
DOE4-58,1516.7,111.4,6266.3,0.24,12.5,0.06,0.609,0.739,0.722,0.5,0.8,1,2,True,0.2,0.5,1
DOE4-59,1592.8,105.2,7215.3,0.208,17.7,0.062,0.598,0.542,0.581,-0.5,0.2,2,3,True,0.5,0.2,1
DOE4-60,1575.6,111.2,7867.5,0.213,16.6,0.059,0.564,0.575,0.649,-0.5,0.8,2,1,True,0.8,0.2,3
DOE4-61,1444.8,101.6,6327.7,0.21,12.7,0.056,0.667,0.675,0.752,0,0.8,2,3,True,0.2,0.2,3
DOE4-62,1511.7,87.1,1580.5,0.195,15.9,0.057,0.725,0.471,0.538,0,0.2,3,3,False,0.8,0.2,3
DOE4-63,1069.7,68.3,237.3,0.308,15.3,0.139,0.533,0.472,0.521,0.5,0.2,3,2,True,0.8,0.8,1
DOE4-64,1428.6,84.1,863.5,0.204,14.4,0.062,0.724,0.552,0.631,0,0.5,2,2,False,0.2,0.5,3
DOE4-65,1915.8,139.1,35620.3,0.234,14.9,0.062,0.524,0.673,0.55,0.5,0.2,1,3,True,0.2,0.2,3
DOE4-66,1803.5,137.8,26657.5,0.218,12.3,0.06,0.569,0.798,0.75,-0.5,0.8,1,3,True,0.5,0.5,3
DOE4-67,1990.8,116.4,12729.1,0.2,15.9,0.055,0.63,0.615,0.513,-0.5,0.2,1,2,False,0.5,0.8,1
DOE4-68,2703.5,189.8,150660.9,0.199,17.7,0.054,0.501,0.561,0.481,-0.5,0.2,1,1,True,0.8,0.5,3
DOE4-69,1677.5,96.7,2749.9,0.182,16.2,0.055,0.722,0.511,0.535,-0.5,0.2,2,3,False,0.8,0.8,2
DOE4-70,1492.4,88.2,1010.3,0.19,14.9,0.056,0.745,0.583,0.601,-0.5,0.8,2,1,False,0.2,0.8,1
DOE4-71,1345.3,92.4,1513.2,0.205,12.9,0.055,0.71,0.61,0.755,0,0.8,3,3,True,0.2,0.2,1
DOE4-72,1654.4,90.6,2103.1,0.239,15.4,0.069,0.62,0.343,0.461,0.5,0.2,2,1,False,0.8,0.5,3
DOE4-73,1703.4,127,17341.1,0.243,13.5,0.063,0.543,0.738,0.613,0.5,0.8,1,1,True,0.2,0.8,3
DOE4-74,1474,87.2,1063.1,0.192,14.2,0.056,0.745,0.578,0.662,-0.5,0.5,2,3,False,0.5,0.5,2
DOE4-75,2017.3,117.7,10946.9,0.206,15.3,0.056,0.624,0.584,0.531,-0.5,0.5,1,1,False,0.5,0.2,3
DOE4-76,1422.7,83.8,1129.6,0.206,14.5,0.057,0.723,0.552,0.632,0,0.5,2,2,False,0.5,0.5,2
DOE4-77,1094,76.2,143.3,0.277,15.2,0.101,0.553,0.565,0.674,-0.5,0.5,3,3,True,0.8,0.2,3
DOE4-78,1363.4,88.3,659.4,0.244,12,0.062,0.664,0.754,0.756,0.5,0.8,1,3,False,0.2,0.8,3
