Name,DOE,Number,Risk,Cost Mean,Cost Median,Cost 95confidence Lower,Cost 95confidence Upper,Cost Q25,Cost Q75,Lead Time Mean,Lead Time Median,Lead Time 95confidence Lower,Lead Time 95confidence Upper,Lead Time Q25,Lead Time Q75,Effectivness Mean,Effectivness Median,Effectivness 95confidence Lower,Effectivness 95confidence Upper,Effectivness Q25,Effectivness Q75,Average Iterations Mean,Average Iterations Median,Average Iterations 95confidence Lower,Average Iterations 95confidence Upper,Average Iterations Q25,Average Iterations Q75,First Pass Yield Mean,First Pass Yield Median,First Pass Yield 95confidence Lower,First Pass Yield 95confidence Upper,First Pass Yield Q25,First Pass Yield Q75,Rel Cost Physical Mean,Rel Cost Physical Median,Rel Cost Physical 95confidence Lower,Rel Cost Physical 95confidence Upper,Rel Cost Physical Q25,Rel Cost Physical Q75,Work Efficency Mean,Work Efficency Median,Work Efficency 95confidence Lower,Work Efficency 95confidence Upper,Work Efficency Q25,Work Efficency Q75,Average Consitency Mean,Average Consitency Median,Average Consitency 95confidence Lower,Average Consitency 95confidence Upper,Average Consitency Q25,Average Consitency Q75
Baseline,Baseline,,2050.6,1437.6,1403.1,1402.7,1472.4,1191,1615.9,84.8,82.5,82.4,87.3,67.1,98.2,0.203,0.197,0.199,0.208,0.171,0.232,14.6,14.4,14.3,14.8,12.9,15.8,0.059,0.051,0.054,0.064,0.025,0.089,0.724,0.728,0.722,0.727,0.706,0.744,0.552,0.552,0.551,0.553,0.545,0.56,0.632,0.633,0.629,0.635,0.613,0.652
DOE3-1,DOE3,1,6480.6,1571.8,1502.2,1532.9,1610.6,1314.5,1775.5,106.1,101.3,103.2,109,85.6,121.6,0.205,0.202,0.2,0.21,0.171,0.232,14.5,14.2,14.3,14.8,12.8,15.9,0.061,0.051,0.055,0.067,0.025,0.089,0.658,0.657,0.655,0.661,0.641,0.678,0.55,0.551,0.549,0.551,0.544,0.557,0.636,0.635,0.632,0.639,0.614,0.659
DOE3-10,DOE3,10,5558.8,1492.3,1422.2,1452.6,1532.1,1229.2,1694.4,101.4,96.2,98.5,104.3,81.4,116.3,0.215,0.211,0.21,0.221,0.179,0.245,15.5,15.2,15.2,15.7,13.7,16.9,0.065,0.051,0.058,0.072,0.025,0.089,0.625,0.629,0.62,0.629,0.603,0.654,0.561,0.561,0.56,0.562,0.554,0.568,0.661,0.663,0.658,0.664,0.639,0.682
DOE3-11,DOE3,11,3364.6,1483.3,1441.1,1447.8,1518.7,1228.4,1653.8,100.6,97.3,98,103.2,82.3,114.1,0.216,0.211,0.211,0.221,0.184,0.247,15.3,15.2,15,15.5,13.8,16.6,0.065,0.063,0.059,0.07,0.025,0.089,0.62,0.625,0.617,0.624,0.597,0.647,0.569,0.569,0.568,0.57,0.563,0.576,0.659,0.66,0.655,0.662,0.635,0.682
DOE3-12,DOE3,12,5644.3,1572.5,1524,1537.6,1607.4,1311.6,1759.6,109.1,104.1,106.4,111.8,90.1,124.3,0.21,0.208,0.205,0.214,0.179,0.239,14.7,14.5,14.5,14.9,13.2,16,0.059,0.063,0.055,0.063,0.025,0.089,0.625,0.627,0.622,0.628,0.603,0.646,0.582,0.583,0.581,0.583,0.575,0.589,0.645,0.644,0.641,0.648,0.624,0.665
DOE3-13,DOE3,13,3098,1446.6,1393.3,1410.9,1482.2,1193.5,1664.6,97.5,93.5,94.9,100.1,77.5,112.7,0.219,0.214,0.214,0.225,0.181,0.251,15.9,15.7,15.7,16.2,14.2,17.4,0.064,0.063,0.058,0.07,0.025,0.089,0.608,0.613,0.604,0.613,0.58,0.642,0.567,0.568,0.566,0.568,0.561,0.575,0.666,0.666,0.663,0.669,0.647,0.686
DOE3-14,DOE3,14,4548,1452.2,1391.1,1413,1491.4,1172.9,1633.9,98.3,93.4,95.5,101.1,78.4,112.3,0.223,0.217,0.217,0.228,0.186,0.257,15.8,15.6,15.6,16.1,14.1,17.2,0.064,0.051,0.057,0.072,0.025,0.089,0.6,0.604,0.595,0.605,0.57,0.637,0.575,0.575,0.574,0.576,0.569,0.581,0.669,0.668,0.666,0.672,0.649,0.689
DOE3-15,DOE3,15,8398,1612.8,1565.4,1573.5,1652.2,1311,1854.5,112.2,108.1,109.2,115.2,89.5,130.1,0.206,0.2,0.201,0.211,0.169,0.238,15.4,15.2,15.1,15.6,13.6,17,0.055,0.051,0.051,0.06,0.025,0.089,0.62,0.625,0.617,0.624,0.6,0.645,0.587,0.587,0.586,0.589,0.58,0.595,0.651,0.65,0.647,0.654,0.629,0.676
DOE3-16,DOE3,16,1883.4,1341.7,1269.4,1307.2,1376.2,1093.7,1520,90.8,85.5,88.4,93.3,72.3,104.3,0.237,0.234,0.231,0.243,0.196,0.271,15.9,15.7,15.7,16.1,14.1,17.2,0.068,0.063,0.061,0.075,0.026,0.089,0.58,0.585,0.574,0.585,0.547,0.619,0.567,0.568,0.566,0.568,0.561,0.574,0.67,0.671,0.667,0.673,0.65,0.693
DOE3-17,DOE3,17,2240.9,1369.4,1303.6,1334.5,1404.2,1113.2,1566.7,93.3,87.5,90.8,95.9,75.4,108,0.234,0.231,0.229,0.24,0.194,0.272,16,15.7,15.7,16.2,14.3,17.5,0.064,0.063,0.058,0.07,0.025,0.089,0.579,0.581,0.574,0.584,0.541,0.618,0.575,0.575,0.574,0.576,0.569,0.581,0.667,0.668,0.664,0.67,0.648,0.687
DOE3-18,DOE3,18,6226.5,1524.7,1435.3,1487.5,1561.9,1263.7,1708,105.7,99.2,102.8,108.5,85.4,118.8,0.216,0.216,0.211,0.221,0.181,0.247,15.2,15,15,15.5,13.5,16.6,0.061,0.063,0.056,0.066,0.025,0.089,0.605,0.607,0.601,0.609,0.582,0.633,0.591,0.592,0.59,0.592,0.584,0.598,0.664,0.665,0.66,0.667,0.642,0.687
DOE3-19,DOE3,19,826.7,1257.4,1206,1224.8,1289.9,1011.7,1455.7,85.6,82.3,83.3,87.9,69,98.7,0.255,0.247,0.248,0.262,0.206,0.296,15.7,15.6,15.5,15.9,14,17.2,0.08,0.063,0.069,0.092,0.026,0.09,0.557,0.561,0.55,0.563,0.52,0.605,0.564,0.564,0.563,0.565,0.557,0.571,0.657,0.659,0.654,0.66,0.638,0.678
DOE3-2,DOE3,2,5637.9,1603.5,1567.9,1566.1,1640.8,1327.6,1828.8,108.5,105.4,105.8,111.3,88.2,125.2,0.202,0.196,0.197,0.207,0.167,0.23,14.6,14.5,14.3,14.8,12.9,15.9,0.055,0.051,0.05,0.06,0.025,0.089,0.655,0.657,0.652,0.657,0.636,0.673,0.559,0.56,0.558,0.56,0.553,0.566,0.635,0.636,0.632,0.638,0.616,0.659
DOE3-20,DOE3,20,987.6,1282.4,1229.7,1248.8,1316,1039,1472.2,87.7,84.2,85.3,90.1,70.3,101.8,0.252,0.246,0.246,0.259,0.204,0.29,15.8,15.5,15.6,16,14.2,17.4,0.073,0.063,0.064,0.081,0.025,0.101,0.552,0.561,0.546,0.558,0.513,0.596,0.571,0.572,0.57,0.573,0.565,0.578,0.658,0.66,0.655,0.661,0.638,0.68
DOE3-21,DOE3,21,6726.4,1523,1454.8,1482.9,1563,1230.5,1751.4,104.9,100.2,102,107.9,83.5,120.5,0.217,0.212,0.212,0.223,0.179,0.253,15.9,15.5,15.6,16.1,14.1,17.2,0.063,0.051,0.057,0.07,0.025,0.089,0.594,0.599,0.59,0.599,0.568,0.629,0.595,0.595,0.594,0.596,0.588,0.603,0.667,0.668,0.664,0.671,0.643,0.693
